,treatment,database,cohort,cancer_cat,psi,i_ci,s_ci,pvalue,n
1,mech_vent,MIMIC,cancer,cat_solid,-0.0143617586130734,-0.0492460093081205,0.0205224920819738,0.419708490588034,3057
2,mech_vent,MIMIC,cancer,cat_hematological,0.06189050885419,-0.00500913056438937,0.128790148272769,0.0697941326793858,1043
3,mech_vent,MIMIC,cancer,cat_metastasized,-0.0314373720949808,-0.0834360501200426,0.020561305930081,0.236026450960686,1737
4,vasopressor,MIMIC,cancer,cat_solid,0.0841806621428354,0.0441401690668098,0.124221155218861,3.77754213051558e-05,3057
5,vasopressor,MIMIC,cancer,cat_hematological,0.0182790938572916,-0.0509840016605983,0.0875421893751815,0.604974721461583,1043
6,vasopressor,MIMIC,cancer,cat_metastasized,0.0636621248970483,0.005717340465539,0.121606909328557,0.0312879792499801,1737
7,rrt,MIMIC,cancer,cat_solid,0.108024067717943,0.0589318252613018,0.157116310174583,1.61167997735984e-05,3057
8,rrt,MIMIC,cancer,cat_hematological,0.0918805938923382,-0.0149064718027453,0.198667659587422,0.0917183192254219,1043
9,rrt,MIMIC,cancer,cat_metastasized,0.162192427801981,0.0990695619347756,0.225315293669186,4.74951559683562e-07,1737
10,mech_vent,eICU,cancer,cat_solid,0.173244175593151,0.121859154067268,0.224629197119035,3.8922112541775e-11,1858
11,mech_vent,eICU,cancer,cat_hematological,0.188926796043926,0.086432928106098,0.291420663981753,0.000302832251004634,591
12,mech_vent,eICU,cancer,cat_metastasized,0.251172920670629,0.140327837944016,0.362018003397241,8.9407063126458e-06,458
13,vasopressor,eICU,cancer,cat_solid,0.103861434561435,0.0637527234036,0.14397014571927,3.86648258867607e-07,1858
14,vasopressor,eICU,cancer,cat_hematological,0.136416841625501,0.0552878589065665,0.217545824344435,0.000981758407368297,591
15,vasopressor,eICU,cancer,cat_metastasized,0.0780384549790102,-0.0150137822257412,0.171090692183762,0.100226172474708,458
16,rrt,eICU,cancer,cat_solid,0.117068446855319,0.0505897170947449,0.183547176615893,0.00055739212884225,1858
17,rrt,eICU,cancer,cat_hematological,0.206463591882648,0.088940539232119,0.323986644533177,0.000574634106470673,591
18,rrt,eICU,cancer,cat_metastasized,0.176434438421608,0.0390684120763627,0.313800464766854,0.0118209220730778,458